model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit
densenet121-res224-all,u0,Enlarged Cardiomediastinum,auroc,0.6555909939642132,0.5753945610926943,0.7392011978198723,200,200,patient
densenet121-res224-all,u0,Enlarged Cardiomediastinum,auprc_ap,0.025971916858360044,0.0015271536596145859,0.08299536686323125,200,200,patient
densenet121-res224-all,u0,Cardiomegaly,auroc,0.8434854306941375,0.8317469486373137,0.853571814986686,200,200,patient
densenet121-res224-all,u0,Cardiomegaly,auprc_ap,0.2821415980414828,0.2592269937680947,0.3039869494378045,200,200,patient
densenet121-res224-all,u0,Lung Lesion,auroc,0.4349572321599819,0.41182316931335217,0.4561294775234001,200,200,patient
densenet121-res224-all,u0,Lung Lesion,auprc_ap,0.024203877683830984,0.021723459727793912,0.02660857311457024,200,200,patient
densenet121-res224-all,u0,Lung Opacity,auroc,0.6599385511600004,0.6444774075766599,0.6741914121613001,200,200,patient
densenet121-res224-all,u0,Lung Opacity,auprc_ap,0.11165669262048233,0.1021682099911668,0.12073305855562086,200,200,patient
densenet121-res224-all,u0,Edema,auroc,0.7094339731984465,0.47058977570540933,0.8536194123276508,200,200,patient
densenet121-res224-all,u0,Edema,auprc_ap,0.0014467973307605098,0.0003762367885418226,0.0032077117097070234,200,200,patient
densenet121-res224-all,u0,Consolidation,auroc,0.6283606912906821,0.6139577545969369,0.6451923690680513,200,200,patient
densenet121-res224-all,u0,Consolidation,auprc_ap,0.07595447892926263,0.0700543646996402,0.08270737788381208,200,200,patient
densenet121-res224-all,u0,Pneumonia,auroc,0.6952896612025938,0.6658220729657627,0.7230518715318845,200,200,patient
densenet121-res224-all,u0,Pneumonia,auprc_ap,0.02248596608616907,0.018624595066949728,0.027143332322251582,200,200,patient
densenet121-res224-all,u0,Atelectasis,auroc,0.7111853291139824,0.6974381247368507,0.7252529167145892,200,200,patient
densenet121-res224-all,u0,Atelectasis,auprc_ap,0.12197258500716643,0.11286816003005175,0.13565445852708938,200,200,patient
densenet121-res224-all,u0,Pneumothorax,auroc,0.7610915406842388,0.6437097866233381,0.8549626853310138,200,200,patient
densenet121-res224-all,u0,Pneumothorax,auprc_ap,0.011334607736868207,0.00255199491980857,0.0361292233193002,200,200,patient
densenet121-res224-all,u0,Pleural Effusion,auroc,0.807584144550269,0.789522360084757,0.8271586691874679,200,200,patient
densenet121-res224-all,u0,Pleural Effusion,auprc_ap,0.16368329736712375,0.13017147768408127,0.19807176618877678,200,200,patient
densenet121-res224-all,u0,Fracture,auroc,0.5470042923250177,0.5206361436782716,0.5759755377099011,200,200,patient
densenet121-res224-all,u0,Fracture,auprc_ap,0.01427615010669863,0.01216254897308081,0.01687202327830776,200,200,patient
densenet121-res224-chex,u0,Enlarged Cardiomediastinum,auroc,0.6852307725433127,0.6052580775028488,0.7789911044152076,200,200,patient
densenet121-res224-chex,u0,Enlarged Cardiomediastinum,auprc_ap,0.0026948468349434727,0.0015382119829712505,0.004699456973878384,200,200,patient
densenet121-res224-chex,u0,Cardiomegaly,auroc,0.7319189038191262,0.7141685521736099,0.746050521178578,200,200,patient
densenet121-res224-chex,u0,Cardiomegaly,auprc_ap,0.14006908588001113,0.12958621492054842,0.1491946176080795,200,200,patient
densenet121-res224-chex,u0,Lung Lesion,auroc,0.5039551371525729,0.48353646332349187,0.5255488669239706,200,200,patient
densenet121-res224-chex,u0,Lung Lesion,auprc_ap,0.028395146883581086,0.02531603721840965,0.031249102706080986,200,200,patient
densenet121-res224-chex,u0,Lung Opacity,auroc,0.6260538046075165,0.6115015071858867,0.6384297277627629,200,200,patient
densenet121-res224-chex,u0,Lung Opacity,auprc_ap,0.10605742896896075,0.09728160226778024,0.11397933482115774,200,200,patient
densenet121-res224-chex,u0,Edema,auroc,0.739072111378768,0.5218929217642888,0.9297887062337081,200,200,patient
densenet121-res224-chex,u0,Edema,auprc_ap,0.004422168019175532,0.0007761447498617165,0.013847571386122352,200,200,patient
densenet121-res224-chex,u0,Consolidation,auroc,0.5283543389389432,0.5119864834222276,0.5453041068366711,200,200,patient
densenet121-res224-chex,u0,Consolidation,auprc_ap,0.055665815346864454,0.05031955003917128,0.06045759218729389,200,200,patient
densenet121-res224-chex,u0,Pneumonia,auroc,0.6830537239942711,0.6494056756121191,0.7124778315239337,200,200,patient
densenet121-res224-chex,u0,Pneumonia,auprc_ap,0.024424643690486594,0.019785870612018676,0.030353023325263784,200,200,patient
densenet121-res224-chex,u0,Atelectasis,auroc,0.6391942192225405,0.6224085623130186,0.6556858833729452,200,200,patient
densenet121-res224-chex,u0,Atelectasis,auprc_ap,0.09447973488408974,0.08616127797167075,0.1027778775241969,200,200,patient
densenet121-res224-chex,u0,Pneumothorax,auroc,0.658804968837766,0.5647172162989714,0.7540157068943092,200,200,patient
densenet121-res224-chex,u0,Pneumothorax,auprc_ap,0.00358277994176649,0.0016395537494806318,0.0073778727775341835,200,200,patient
densenet121-res224-chex,u0,Pleural Effusion,auroc,0.762046966024924,0.7442153977899333,0.7804530293151742,200,200,patient
densenet121-res224-chex,u0,Pleural Effusion,auprc_ap,0.07386747775629257,0.06397822380967304,0.08543983589739493,200,200,patient
densenet121-res224-chex,u0,Fracture,auroc,0.5855643456711983,0.5469514396949157,0.6212321761391514,200,200,patient
densenet121-res224-chex,u0,Fracture,auprc_ap,0.017874080199687996,0.014134821654251327,0.022324795789931632,200,200,patient
densenet121-res224-mimic_nb,u0,Enlarged Cardiomediastinum,auroc,0.6285219406537328,0.533770044933631,0.7126815559558396,200,200,patient
densenet121-res224-mimic_nb,u0,Enlarged Cardiomediastinum,auprc_ap,0.005329008261456994,0.0012036273202152333,0.019484672995992255,200,200,patient
densenet121-res224-mimic_nb,u0,Cardiomegaly,auroc,0.7206129615043595,0.7078654066344772,0.7341055289606692,200,200,patient
densenet121-res224-mimic_nb,u0,Cardiomegaly,auprc_ap,0.13538907388499635,0.1218982018324528,0.15202683893701668,200,200,patient
densenet121-res224-mimic_nb,u0,Lung Lesion,auroc,0.5488516430491047,0.5258470552671416,0.5714065387143402,200,200,patient
densenet121-res224-mimic_nb,u0,Lung Lesion,auprc_ap,0.03297549998872252,0.02872917182330706,0.03681556378189774,200,200,patient
densenet121-res224-mimic_nb,u0,Lung Opacity,auroc,0.6514572961249792,0.637551244483023,0.6666392748628944,200,200,patient
densenet121-res224-mimic_nb,u0,Lung Opacity,auprc_ap,0.12398116734557409,0.11492104050382956,0.13608809007615083,200,200,patient
densenet121-res224-mimic_nb,u0,Edema,auroc,0.6409299195145786,0.47136749574783154,0.7953582708470496,200,200,patient
densenet121-res224-mimic_nb,u0,Edema,auprc_ap,0.002019880235101231,0.0003937286405321783,0.0057090604196221115,200,200,patient
densenet121-res224-mimic_nb,u0,Consolidation,auroc,0.5860641691851348,0.5694589941896548,0.6022634524066373,200,200,patient
densenet121-res224-mimic_nb,u0,Consolidation,auprc_ap,0.06786348239009588,0.06269102106940008,0.07289385565998296,200,200,patient
densenet121-res224-mimic_nb,u0,Pneumonia,auroc,0.6746752893389976,0.6385426692225868,0.7071516165475824,200,200,patient
densenet121-res224-mimic_nb,u0,Pneumonia,auprc_ap,0.02359703908747532,0.0193998664203293,0.02835080120184896,200,200,patient
densenet121-res224-mimic_nb,u0,Atelectasis,auroc,0.6060321156256727,0.5901838486106888,0.6200058275280195,200,200,patient
densenet121-res224-mimic_nb,u0,Atelectasis,auprc_ap,0.0857745807431911,0.07793274390467117,0.09299994297920386,200,200,patient
densenet121-res224-mimic_nb,u0,Pneumothorax,auroc,0.5718335520935475,0.4288282993797256,0.6848151597490307,200,200,patient
densenet121-res224-mimic_nb,u0,Pneumothorax,auprc_ap,0.008370607053232101,0.0015167102652229132,0.025392472306634942,200,200,patient
densenet121-res224-mimic_nb,u0,Pleural Effusion,auroc,0.7491324251710811,0.7263520181106828,0.7725512990998251,200,200,patient
densenet121-res224-mimic_nb,u0,Pleural Effusion,auprc_ap,0.06998455014255799,0.057878513366561454,0.08514109825726067,200,200,patient
densenet121-res224-mimic_nb,u0,Fracture,auroc,0.5898697277709811,0.5557766842270124,0.6242612593447643,200,200,patient
densenet121-res224-mimic_nb,u0,Fracture,auprc_ap,0.017863611728776388,0.014676884488800097,0.02160298059318176,200,200,patient
densenet121-res224-mimic_ch,u0,Enlarged Cardiomediastinum,auroc,0.6529469039891782,0.5598107790407673,0.7380378525015072,200,200,patient
densenet121-res224-mimic_ch,u0,Enlarged Cardiomediastinum,auprc_ap,0.009484270588107946,0.0011896076981562542,0.03535556455317524,200,200,patient
densenet121-res224-mimic_ch,u0,Cardiomegaly,auroc,0.7325349265383188,0.7178686935572478,0.7442858964777772,200,200,patient
densenet121-res224-mimic_ch,u0,Cardiomegaly,auprc_ap,0.14938526696694576,0.13764827922929393,0.16222769006885274,200,200,patient
densenet121-res224-mimic_ch,u0,Lung Lesion,auroc,0.520793368131053,0.4971815768574321,0.5470527109664952,200,200,patient
densenet121-res224-mimic_ch,u0,Lung Lesion,auprc_ap,0.0340411475476614,0.02974265724559957,0.03830747725402957,200,200,patient
densenet121-res224-mimic_ch,u0,Lung Opacity,auroc,0.6279552010471474,0.6149782106760688,0.6410163158400116,200,200,patient
densenet121-res224-mimic_ch,u0,Lung Opacity,auprc_ap,0.11860024126875796,0.10874610679932169,0.13061701922396696,200,200,patient
densenet121-res224-mimic_ch,u0,Edema,auroc,0.6416265856316644,0.4144690626574161,0.8550721595247899,200,200,patient
densenet121-res224-mimic_ch,u0,Edema,auprc_ap,0.0013869361869188917,0.0004365963601976023,0.003349548164427546,200,200,patient
densenet121-res224-mimic_ch,u0,Consolidation,auroc,0.5692417363160799,0.5543176576094132,0.5865728425782181,200,200,patient
densenet121-res224-mimic_ch,u0,Consolidation,auprc_ap,0.06367720898687948,0.058541006751748156,0.06903033976479706,200,200,patient
densenet121-res224-mimic_ch,u0,Pneumonia,auroc,0.6932297262396276,0.6617504433550598,0.7189523176452631,200,200,patient
densenet121-res224-mimic_ch,u0,Pneumonia,auprc_ap,0.03239834409450383,0.022838901693161176,0.047073442380232276,200,200,patient
densenet121-res224-mimic_ch,u0,Atelectasis,auroc,0.6225391621109024,0.6057054702571666,0.6409489939712515,200,200,patient
densenet121-res224-mimic_ch,u0,Atelectasis,auprc_ap,0.09032226123927387,0.08334414941598495,0.09802748312863128,200,200,patient
densenet121-res224-mimic_ch,u0,Pneumothorax,auroc,0.5744497056732066,0.4508187237881935,0.6746894018215152,200,200,patient
densenet121-res224-mimic_ch,u0,Pneumothorax,auprc_ap,0.0031910150473512455,0.0012968102169061857,0.006624545998752637,200,200,patient
densenet121-res224-mimic_ch,u0,Pleural Effusion,auroc,0.7724267022357354,0.7517062845685717,0.7905523400124553,200,200,patient
densenet121-res224-mimic_ch,u0,Pleural Effusion,auprc_ap,0.0931343511638488,0.07278909056927803,0.11477014511299373,200,200,patient
densenet121-res224-mimic_ch,u0,Fracture,auroc,0.6009667590340466,0.5703566999401397,0.6402175607957019,200,200,patient
densenet121-res224-mimic_ch,u0,Fracture,auprc_ap,0.01932370373601898,0.015627919922222577,0.0244667132825917,200,200,patient
densenet121-res224-nih,u0,Cardiomegaly,auroc,0.7753492358474742,0.7625630815322462,0.7871985784906846,200,200,patient
densenet121-res224-nih,u0,Cardiomegaly,auprc_ap,0.17079760054082718,0.15966259645287878,0.18693705704045213,200,200,patient
densenet121-res224-nih,u0,Edema,auroc,0.4789902358073531,0.28990877896833916,0.6721122180325252,200,200,patient
densenet121-res224-nih,u0,Edema,auprc_ap,0.000613688332169075,0.0002167515173928174,0.001273533308376394,200,200,patient
densenet121-res224-nih,u0,Consolidation,auroc,0.5365389966771609,0.5165728009061418,0.5565956306273431,200,200,patient
densenet121-res224-nih,u0,Consolidation,auprc_ap,0.06405911681058107,0.058133984735971644,0.07040876115004556,200,200,patient
densenet121-res224-nih,u0,Pneumonia,auroc,0.6397725714489886,0.6046429550671709,0.6769700682692876,200,200,patient
densenet121-res224-nih,u0,Pneumonia,auprc_ap,0.02170164943947105,0.017680459518594288,0.027503506527355313,200,200,patient
densenet121-res224-nih,u0,Atelectasis,auroc,0.6873629836972279,0.6704483131461758,0.7031607434152177,200,200,patient
densenet121-res224-nih,u0,Atelectasis,auprc_ap,0.11266292314798981,0.10242033090998588,0.12241652062738055,200,200,patient
densenet121-res224-nih,u0,Pneumothorax,auroc,0.7009444613804073,0.6033523253945081,0.7868858686338513,200,200,patient
densenet121-res224-nih,u0,Pneumothorax,auprc_ap,0.0048506578343900045,0.002040660081656813,0.0090691272224898,200,200,patient
densenet121-res224-nih,u0,Pleural Effusion,auroc,0.7285300098785962,0.7016516287821222,0.7520291278084197,200,200,patient
densenet121-res224-nih,u0,Pleural Effusion,auprc_ap,0.08293383136249771,0.0634705848055266,0.10498607110717904,200,200,patient
densenet121-res224-pc,u0,Cardiomegaly,auroc,0.8234805911219252,0.8150030915036672,0.8336503847101198,200,200,patient
densenet121-res224-pc,u0,Cardiomegaly,auprc_ap,0.23843293791392703,0.2192346938843525,0.261192183540641,200,200,patient
densenet121-res224-pc,u0,Edema,auroc,0.7391919341541151,0.5635473121519174,0.874719803553374,200,200,patient
densenet121-res224-pc,u0,Edema,auprc_ap,0.0021832457174139406,0.000553924347657856,0.005167584650184881,200,200,patient
densenet121-res224-pc,u0,Consolidation,auroc,0.6667768679055638,0.6501301875753288,0.6850634522940665,200,200,patient
densenet121-res224-pc,u0,Consolidation,auprc_ap,0.1166889355370898,0.10155759360104614,0.13442954577422234,200,200,patient
densenet121-res224-pc,u0,Pneumonia,auroc,0.7971614607462846,0.7703757035542462,0.8243163893122711,200,200,patient
densenet121-res224-pc,u0,Pneumonia,auprc_ap,0.09929477197037823,0.06734031497872897,0.14147351732245522,200,200,patient
densenet121-res224-pc,u0,Atelectasis,auroc,0.70689624429386,0.6927284698478592,0.7195883359641839,200,200,patient
densenet121-res224-pc,u0,Atelectasis,auprc_ap,0.1372877402035696,0.12139018328589803,0.14992398606198085,200,200,patient
densenet121-res224-pc,u0,Pneumothorax,auroc,0.7294580199564635,0.610087896820748,0.818211395983878,200,200,patient
densenet121-res224-pc,u0,Pneumothorax,auprc_ap,0.005869415564643679,0.002576401897009166,0.010756943615009075,200,200,patient
densenet121-res224-pc,u0,Pleural Effusion,auroc,0.7308109861489962,0.703028580636202,0.7539985879307975,200,200,patient
densenet121-res224-pc,u0,Pleural Effusion,auprc_ap,0.11136262390166245,0.07932671833647324,0.1439830245251955,200,200,patient
densenet121-res224-pc,u0,Fracture,auroc,0.5590523484421225,0.5255628017850655,0.5942899036634633,200,200,patient
densenet121-res224-pc,u0,Fracture,auprc_ap,0.0173114997220546,0.012939935103793685,0.02768321616866854,200,200,patient
resnet50-res512-all,u0,Enlarged Cardiomediastinum,auroc,0.5,0.5,0.5,200,200,patient
resnet50-res512-all,u0,Enlarged Cardiomediastinum,auprc_ap,0.0012798445508065948,0.0008163412329442678,0.0018469926977431007,200,200,patient
resnet50-res512-all,u0,Cardiomegaly,auroc,0.8493643072402236,0.8387280311155652,0.8588993313565733,200,200,patient
resnet50-res512-all,u0,Cardiomegaly,auprc_ap,0.30724404663375243,0.2795026947964301,0.33356593134079604,200,200,patient
resnet50-res512-all,u0,Lung Lesion,auroc,0.5,0.5,0.5,200,200,patient
resnet50-res512-all,u0,Lung Lesion,auprc_ap,0.029502408068346565,0.027038748886722745,0.031998170702143065,200,200,patient
resnet50-res512-all,u0,Lung Opacity,auroc,0.6329223549806658,0.6150641025126131,0.6478267598796151,200,200,patient
resnet50-res512-all,u0,Lung Opacity,auprc_ap,0.1152797460715182,0.10514506547585258,0.12598431190602655,200,200,patient
resnet50-res512-all,u0,Edema,auroc,0.6320945562485938,0.453081059027562,0.7864583112742893,200,200,patient
resnet50-res512-all,u0,Edema,auprc_ap,0.0010179851256190827,0.00035128817368375336,0.0020122653683170813,200,200,patient
resnet50-res512-all,u0,Consolidation,auroc,0.6967730614467671,0.6815667906058125,0.7106004811973906,200,200,patient
resnet50-res512-all,u0,Consolidation,auprc_ap,0.10497411543819575,0.09601153147183966,0.11464066265075257,200,200,patient
resnet50-res512-all,u0,Pneumonia,auroc,0.7387728399016428,0.7086938764910066,0.7656152866895363,200,200,patient
resnet50-res512-all,u0,Pneumonia,auprc_ap,0.03666094102539819,0.028065462213839314,0.0486334378564765,200,200,patient
resnet50-res512-all,u0,Atelectasis,auroc,0.7030800759548805,0.686751169354681,0.7155177684420624,200,200,patient
resnet50-res512-all,u0,Atelectasis,auprc_ap,0.12026997183217057,0.109272765992526,0.13285333659396686,200,200,patient
resnet50-res512-all,u0,Pneumothorax,auroc,0.68973299167514,0.5400807716287102,0.8003307190933805,200,200,patient
resnet50-res512-all,u0,Pneumothorax,auprc_ap,0.006592081981741993,0.0021807511501398726,0.014110561952397275,200,200,patient
resnet50-res512-all,u0,Pleural Effusion,auroc,0.8225616106635067,0.7996736258842321,0.84302274074881,200,200,patient
resnet50-res512-all,u0,Pleural Effusion,auprc_ap,0.18788608235314466,0.14753982062931592,0.22734002526408173,200,200,patient
resnet50-res512-all,u0,Fracture,auroc,0.6739134487910996,0.6277342317325417,0.7146094843106195,200,200,patient
resnet50-res512-all,u0,Fracture,auprc_ap,0.07777145095057174,0.047771159432358413,0.1093976333765233,200,200,patient
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,auroc,0.6538410521295597,0.5724503280647903,0.7313463921941453,200,200,patient
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,auprc_ap,0.026201389844275287,0.0014943870291506936,0.08075573254227546,200,200,patient
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auroc,0.8432790590932419,0.8323330628854043,0.8546520455889043,200,200,patient
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auprc_ap,0.283023598733149,0.2613241919365183,0.31016146010874385,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Lesion,auroc,0.43450212916976716,0.41139487594236174,0.45395783638318415,200,200,patient
densenet121-res224-all,ignore_uncertain,Lung Lesion,auprc_ap,0.024227406870753563,0.02178863667489768,0.026433565302267772,200,200,patient
